2022/04/07 16:24:55 {"callers":["E:/GoProject/go-programming-tour-book/blog-service/main.go:25 main.init.0"],"level":"info","message":"weirdo:go-programming-tour-book/blog-service","time":1649319895243914200}
2022/04/13 19:11:31 {"callers":["E:/GoProject/go-programming-tour-book/blog-service/main.go:28 main.init.0"],"level":"error","message":"svc.CreateTag err:Error 1366: Incorrect integer value: '' for column 'created_on' at row 1","time":1649848291779938300}
2022/04/13 19:11:31 {"callers":["E:/GoProject/go-programming-tour-book/blog-service/main.go:28 main.init.0"],"level":"error","message":"svc.CreateTag err:Error 1366: Incorrect integer value: '' for column 'created_on' at row 1","time":1649848291785337800}
2022/04/13 19:11:31 {"callers":["E:/GoProject/go-programming-tour-book/blog-service/main.go:28 main.init.0"],"level":"error","message":"svc.CreateTag err:Error 1366: Incorrect integer value: '' for column 'created_on' at row 1","time":1649848291791390800}
2022/04/13 19:24:36 {"callers":["E:/GoProject/go-programming-tour-book/blog-service/main.go:28 main.init.0"],"level":"error","message":"svc.CreateTag err:Error 1366: Incorrect integer value: '' for column 'created_on' at row 1","time":1649849076798309200}
2022/04/13 19:24:36 {"callers":["E:/GoProject/go-programming-tour-book/blog-service/main.go:28 main.init.0"],"level":"error","message":"svc.CreateTag err:Error 1366: Incorrect integer value: '' for column 'created_on' at row 1","time":1649849076803121000}
2022/04/13 19:24:36 {"callers":["E:/GoProject/go-programming-tour-book/blog-service/main.go:28 main.init.0"],"level":"error","message":"svc.CreateTag err:Error 1366: Incorrect integer value: '' for column 'created_on' at row 1","time":1649849076808531200}
2022/04/13 19:31:23 {"callers":["E:/GoProject/go-programming-tour-book/blog-service/main.go:28 main.init.0"],"level":"error","message":"svc.CreateTag err:Error 1366: Incorrect integer value: '' for column 'created_on' at row 1","time":1649849483724484900}
2022/04/13 19:31:23 {"callers":["E:/GoProject/go-programming-tour-book/blog-service/main.go:28 main.init.0"],"level":"error","message":"svc.CreateTag err:Error 1366: Incorrect integer value: '' for column 'created_on' at row 1","time":1649849483729367300}
2022/04/13 19:31:23 {"callers":["E:/GoProject/go-programming-tour-book/blog-service/main.go:28 main.init.0"],"level":"error","message":"svc.CreateTag err:Error 1366: Incorrect integer value: '' for column 'created_on' at row 1","time":1649849483734228500}
2022/04/17 21:12:41 {"callers":["E:/GoProject/go-programming-tour-book/blog-service/main.go:28 main.init.0"],"level":"error","message":"app.BindAndValid errs:[AppKey为必填字段 AppSecret为必填字段]","time":1650201161131869200}
2022/04/17 21:13:26 {"callers":["E:/GoProject/go-programming-tour-book/blog-service/main.go:28 main.init.0"],"level":"error","message":"app.BindAndValid errs:[AppSecret为必填字段]","time":1650201206332269100}
2022/04/17 21:13:35 {"callers":["E:/GoProject/go-programming-tour-book/blog-service/main.go:28 main.init.0"],"level":"error","message":"app.BindAndValid errs:[AppSecret为必填字段]","time":1650201215120832800}
